Region,District,City,Address,Polling station number,Polling station code,Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of ballots received by the precinct commission,Number of spoiled ballots,Number of unused ballots
Гомельская,Мозырский,Мозырь,"Мозырь, улица Полесская, дом № 22; помещение для голосования: здание государственного учреждения образования «Средняя школа №5 г.Мозыря».",17,03-096-0017,2132,1891,1887,882,38,967,21,26,1424,117,17,282,,,,
Гомельская,Мозырский,Мозырь,"Мозырь, переулок Коллективный, дом № 16; помещение для голосования: здание общежития коммунального жилищного унитарного предприятия «Мозырский райжилкомхоз»",18,03-096-0018,2268,2156,2154,1179,26,949,9,10,1827,201,21,80,6,2360,,204
Гомельская,Мозырский,Мозырь,"Мозырь, бульвар Дружбы, дом № 3; помещение для голосования: здание жилищно¬эксплуатационного участка №3 коммунального жилищного унитарного предприятия «Мозырский райжилкомхоз».",19,03-096-0019,2092,1988,1987,1276,4,707,8,28,1768,123,20,35,5,2170,182,
Гомельская,Мозырский,Мозырь,"Мозырь, улица Притыцкого С.О., дом № 21; помещение для голосования: здание общежития коммунального жилищного унитарного предприятия «Мозырский райжилкомхоз»",23,03-096-0023,2040,1843,1843,993,20,830,51,39,953,606,84,110,,,,
Гомельская,Мозырский,Мозырь,"Мозырь, бульвар Юности, дом № 1а; помещение для голосования: здание Дворца культуры открытого акционерного общества «Мозырский нефтеперерабатывающий завод»",25,03-096-0025,1928,1715,1715,687,6,1022,66,52,1318,150,83,46,,,,
Гомельская,Мозырский,Мозырь,"Мозырь, бульвар Юности, дом №	41; помещение для голосования: здание государственного учреждения образования «Средняя школа №11 г.Мозыря» ",26,03-096-0026,2201,2090,2090,885,20,1185,23,26,1359,611,28,32,11,2300,,210
Гомельская,Мозырский,Мозырь,"Мозырь, улица Котловца М.П., дом № 23; помещение для голосования: здание учреждения образования «Мозырский государственный политехнический колледж»",31,03-096-0031,2998,2849,2848,1799,7,1042,11,40,2134,576,28,59,,,,
Гомельская,Мозырский,Мозырь,"Мозырь, улица Ульяновская, дом № 25; помещение для голосования: здание государственного учреждения образования «Средняя школа №14 г.Мозыря»",36,03-096-0036,1885,1775,1774,765,6,1003,35,37,1162,427,39,42,32,1970,1,194
Гомельская,Мозырский,Мозырь,"Мозырь, улица Нелидова Ф.Г., дом № 2; помещение для голосования: здание общежития коммунального жилищного унитарного предприятия «Мозырский райжилкомхоз»",38,03-096-0038,1621,1134,1134,473,25,661,16,15,629,394,15,65,,,,
Гомельская,Мозырский,Мозырь,"Мозырь, улица Нелидова Ф.Г., дом № 21а, помещение для голосования: здание государственного учреждения образования «Средняя школа №6 г.Мозыря».",39,03-096-0039,2083,1291,1291,307,34,950,18,12,514,660,19,68,,,,
Гомельская,Мозырский,Мозырь,"Мозырь, улица Котловца М.П., дом № 6; помещение для голосования: здание отдела общественного здоровья учреждения «Мозырский зональный центр гигиены и эпидемиологии»",41,03-096-0041,1642,1605,1605,146,13,1446,29,39,955,534,18,23,7,1700,1,94
Гомельская,Мозырский,Мозырь,"Мозырь, бульвар Юности, дом № ИЗ; помещение для голосования: здание государственного учреждения образования «Средняя школа №16 г.Мозыря»",43,03-096-0043,2956,2810,2808,1685,5,1118,11,39,2199,474,28,52,5,3100,,290
Гомельская,Мозырский,Мозырь,"Мозырь, бульвар Юности, дом № ИЗ; помещение для голосования: здание государственного учреждения образования «Средняя школа №16 г.Мозыря»",44,03-096-0044,2995,2846,2846,1794,1,1051,8,10,2533,251,9,32,3,3140,2,292
Гомельская,Мозырский,Мозырь,"Мозырь, улица Малинина Н.И., дом № 8; помещение для голосования: здание Мозырского зонального узла электрической связи Гомельского филиала республиканского унитарного предприятия «Белтелеком»",45,03-096-0045,2994,2849,2842,982,,1860,37,9,1568,1126,21,73,8,3140,,291
Гомельская,Мозырский,агрогородок Козенки,"агрогородок Козенки, улица Спортивная, дом № 71; помещение для голосования: здание государственного учреждения образования «Козенская средняя школа Мозырского района»",58,03-096-0058,1944,1848,1846,697,23,1128,11,20,1184,573,14,29,17,2041,2,91
Гомельская,Мозырский,деревня Новики,"деревня Новики, улица Садовая, дом № 21; помещение для голосования: здание учреждения «Мозырская районная ветеринарная станция».",60,03-096-0060,662,628,628,410,47,171,15,2,312,314,8,-23,,,,
Гомельская,Речицкий,Речица,"Речица, улица Советская, 127, помещение учебного корпуса №1 учреждения образования «Речицкий государственный аграрный колледж»",4,03-100-0004,1780,1667,1667,1050,76,541,22,15,1440,84,7,95,4,1869,,202
Гомельская,Речицкий,Речица,"Речица, улица Советская, 27, помещение государственного учреждения образования «Речицкая детская школа искусств Гомельской области»",9,03-100-0009,2489,2250,2248,767,102,1379,24,21,1832,317,10,44,,,,
Гомельская,Речицкий,Речица,"Речица, улица Трифонова, 117, помещение учреждения здравоохранения «Речицкая центральная районная больница»",10,03-100-0010,,,300,,,,4,2,278,13,1,2,,,,
Гомельская,Речицкий,Речица,"Речица, улица Строителей, 2, помещение жилищно-эксплуатационного участка «Новоречицкое» коммунального унитарного предприятия «Речицкий райжилкомхоз»",11,03-100-0011,1962,1898,1897,1164,26,707,22,17,1661,103,28,66,,,,
Гомельская,Речицкий,Речица,"Речица, улица Строителей, 7, помещение государственного учреждения образования «Средняя школа № 7 г.Речицы»",14,03-100-0014,2704,2433,2433,714,42,1719,32,25,1902,318,36,120,,,,
Гомельская,Речицкий,Речица,"Речица, улица Залинейная, 1, помещение коммунального производственно-технического унитарного предприятия «Речицаагрохимсервис»",17,03-100-0017,1000,909,909,284,168,457,21,13,769,31,7,68,,,,
Гомельская,Речицкий,Речица,"Речица, улица Мичурина, 113, помещение государственного учреждения образования «Средняя школа № 5 г. Речицы»",25,03-100-0025,1120,1036,1036,385,125,526,16,8,899,61,5,47,,,,
Гомельская,Речицкий,Речица,"Речица, улица Нефтяников, 70а, помещение государственного учреждения образования «Детская музыкальная школа искусств г.Речицы»",28,03-100-0028,2245,1787,1775,527,63,1185,23,11,1583,89,21,48,,,,
Гомельская,Речицкий,деревня Будка,"деревня Будка, улица Советская, 5, помещение филиала «Будковский клуб — библиотека» ГУК «Речицкий районный центр культуры и народного творчества»",45,03-100-0045,249,245,245,111,43,91,2,2,196,15,6,24,,,,
Гомельская,Речицкий,деревня Борщёвка,"деревня Борщёвка, улица Советская 1, помещение государственного учреждения образования «Борщёвская средняя школа» Речицкого района",57,03-100-0057,606,547,547,114,252,181,10,8,294,176,7,52,,,,
Гомельская,Рогачевский,г. Рогачев,"г. Рогачев, ул. Анатолия Луначарского, 12, помещение городского Дома культуры.",8,03-101-0008,1389,1267,1267,338,47,882,38,5,613,477,32,93,9,1500,2,231
Гомельская,Рогачевский,г. Рогачев,"г. Рогачев, ул. Вячеслава Степанова, 84, помещение государственного учреждения образования «Средняя школа № 5 г. Рогачева», 1 этаж.",11,03-101-0011,1568,1342,1342,406,17,917,32,18,623,515,43,111,,,,
Гомельская,Рогачевский,г. Рогачев,"г. Рогачев, ул. Набережная, 75а, помещение спортивного зала «Арочник».",15,03-101-0015,1913,1878,1876,953,15,908,16,39,1297,403,9,112,,,,
Гомельская,Рогачевский,д. Хатовня,"деревня Хатовня, ул. Ленина В.И., 1, помещение государственного учреждения образования «Хатовнянский ясли-сад-средняя школа».",29,03-101-0029,589,425,425,216,45,164,4,7,283,101,3,27,,,,
Гомельская,Рогачевский,аг. Звонец,"агрогородок Звонец, ул. Ленинградская, 37, помещение Звонецкого сельского исполнительного комитета.",36,03-101-0036,375,333,333,159,28,146,10,8,164,117,10,24,,,,
Гомельская,Рогачевский,п. Ильич,"поселок Ильич, ул. Юбилейная, 1А, помещение Ильичевского дома культуры.",37,03-101-0037,631,516,516,156,29,331,7,6,201,253,10,39,,,,
Гомельская,Светлогорский,г. Светлогорск,"г. Светлогорск, улица Пушкина, дом 4, помещение государственного учреждения образования «Средняя школа № 1 г, Светлогорска»",2,03-102-0002,1614,1515,1514,950,87,477,12,24,1284,109,11,74,,,,
Гомельская,Светлогорский,г. Светлогорск,"г. Светлогорск, микрорайон Октябрьский, дом 22, помещение государственного учреждения образования «Средняя школа № 4 г. Светлогорска»",3,03-102-0003,1575,1458,1458,616,48,794,15,16,1002,316,25,80,4,1650,1,191
Гомельская,Светлогорский,г. Светлогорск,"г. Светлогорск, микрорайон Юбилейный, дом 15, помещение государственного учреждения образования «Средняя школа № 10 г. Светлогорска»",14,03-102-0014,1656,1519,1518,947,29,542,8,24,1254,101,5,126,,,,
Гомельская,Светлогорский,г. Светлогорск,"г. Светлогорск, микрорайон Березина, дом 39 помещение государственного учреждения образования «Средняя школа № 12 г. Светлогорска»",15,03-102-0015,1742,1569,1568,995,8,565,8,25,1304,108,6,117,,,,
Гомельская,Светлогорский,г. Светлогорск,"г. Светлогорск, микрорайон Березина, дом 42, помещение государственного учреждения образования «Дошкольный центр развития ребенка № 1 г. Светлогорска»",17,03-102-0017,1609,1407,1466,918,8,540,6,33,1222,102,5,92,6,1685,,218
Гомельская,Светлогорский,г. Светлогорск,"г. Светлогорск, микрорайон Молодежный, дом 93, помещение государственного учреждения образования «Средняя школа № 11 г. Светлогорска»",22,03-102-0022,1675,1551,1550,956,18,576,11,32,1317,105,7,72,6,,,
Гомельская,Светлогорский,г. Светлогорск,"г. Светлогорск, микрорайон Молодежный, дом 93, помещение государственного учреждения образования «Средняя школа № 11 г. Светлогорска»",23,03-102-0023,1594,1472,1471,911,18,542,5,23,1222,101,5,106,9,1670,,198
Гродненская,Гродно - Ленинский,Гродно,"государственное учреждение образование (далее – ГУО) “Средняя школа №16 г. Гродно”, г. Гродно, ул. Сухомбаева, 1).",2,04-021-0002,1589,1434,1434,207,66,1161,24,14,863,456,25,52,,,,
Гродненская,Гродно - Ленинский,Гродно,"ГУО “Гимназия №10 г. Гродно”, г. Гродно, ул. Дзержинского, 8).",8,04-021-0008,978,897,897,165,70,662,21,5,298,430,18,125,,,,
Гродненская,Гродно - Ленинский,Гродно,"Общежитие УО “Гродненский государственный медицинский колледж”, г. Гродно, ул. Горького, 61/1).",11,04-021-0011,1100,1088,1088,428,34,626,17,15,701,192,17,132,14,1100,3,9
Гродненская,Гродно - Ленинский,Гродно,"ГУО “Гимназия №2 г. Гродно”, г. Гродно, ул. Болдина, 10Б).",22,04-021-0022,2215,1971,1971,575,58,1338,48,50,1188,468,26,191,,,,
Гродненская,Гродно - Ленинский,Гродно,"ГУО “Гимназия №2 г. Гродно”, г. Гродно, ул. Болдина, 10Б).",23,04-021-0023,1682,1537,1537,561,42,934,22,12,878,570,15,40,,,,
Гродненская,Гродно - Ленинский,Гродно,"ГУО «Средняя школа № 7 г. Гродно», г. Гродно, ул. Курчатова, 7).",32,04-021-0032,1047,892,892,229,24,639,20,12,455,301,18,86,,,,
Гродненская,Гродно - Ленинский,Гродно,"УО ""Гродненский государственный колледж искусств"", г. Гродно, бульвар Ленинского комсомола, 23).",40,04-021-0040,1365,1319,1319,479,62,778,32,63,710,376,51,87,,,,
Гродненская,Гродно - Ленинский,Гродно,"УО ""Гродненский государственный профессиональный электротехнический колледж имени И. Счасного"", г. Гродно, ул. Дзержинского, 41Б).",44,04-021-0044,1667,1602,1602,420,17,1165,29,29,929,474,42,99,,,,
Гродненская,Гродно - Ленинский,Гродно,"ГУО «Средняя школа №28 г. Гродно», г. Гродно, ул. Брикеля, 11).",46,04-021-0046,2800,2322,2322,595,13,1714,29,19,1185,1053,7,19,10,,,478
Гродненская,Гродно - Ленинский,Гродно,"ГУО «Средняя школа №28 г. Гродно», г. Гродно, ул. Брикеля, 11).",47,04-021-0047,1480,1080,1070,290,15,765,6,7,556,460,8,26,7,1500,,420
Гродненская,Гродно - Ленинский,Гродно,"ГУО «Средняя школа №28 г. Гродно», г. Гродно, ул. Брикеля, 11).",48,04-021-0048,1867,1451,1451,449,9,993,15,38,713,620,11,38,13,1900,3,411
Гродненская,Гродно - Ленинский,Гродно,"клуб филиала №5 “Гродненский комбинат строительных материалоы ОАО “Красносельскстройматериалы”, г. Гродно, ул. Горького, 100).",62,04-021-0062,1794,1668,1668,511,39,1118,5,3,997,640,8,7,8,1800,4,128
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №15 имени Д.М. Карбышева г. Гродно”, г. Гродно, ул. Мира, 15)",66,04-022-0066,2294,2207,2207,1124,58,1025,62,48,1483,307,67,240,,,,
Гродненская,Гродно - Октябрьский,Гродно,"учереждение образования (далее – УО) “Гродненский колледж экономики и управления” Белкоопсоюза, г. Гродно, ул. Поповича, 2)",67,04-022-0067,2084,1668,1668,351,37,1280,47,29,427,1002,35,128,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ул. Поповича, 1, УО “Гродненское государственное училище олимпийского резерва”",68,04-022-0068,2291,2071,2071,789,83,1199,35,29,1101,728,37,141,,,,
Гродненская,Гродно - Октябрьский,Гродно,"УЗ “Городская клиническая больница скорой медицинской помощи г. Гродно”, г. Гродно, ул. Советских Пограничников, 115",69,04-022-0069,2087,1668,1668,351,37,1280,47,29,427,1002,35,128,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №19 г. Гродно”, г. Гродно, ул. Головичи, 28)",70,04-022-0070,2293,1937,1937,343,72,1522,7,6,881,1034,4,5,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №37 г. Гродно”, г. Гродно, ул. Соломовой, 155",74,04-022-0074,2497,2403,2403,698,6,1699,55,30,1015,1214,45,44,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимнация №4 г. Гродно”, г. Гродно, ул. Репина, 17",75,04-022-0075,2093,2014,2014,813,36,1165,19,15,1119,808,18,24,11,2100,1,85
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №4 г. Гродно”, г. Гродно, ул. Репина, 17",76,04-022-0076,2089,2009,2009,823,40,1146,40,24,1175,591,36,131,12,2100,3,88
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №4 г. Гродно”, г. Гродно, ул. Репина, 17",77,04-022-0077,2191,1932,1932,856,35,1041,29,15,1215,554,25,69,25,2200,4,264
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №20 г. Гродно”, г. Гродно, ул. Соломовой, 76)",79,04-022-0079,1092,1031,1031,493,47,491,23,35,741,146,15,71,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №3 г. Гродно”, г. Гродно, ул. Соломовой, 58)",80,04-022-0080,1889,1677,1677,394,76,1207,28,18,523,955,35,118,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №3 г. Гродно”, г. Гродно, ул. Соломовой, 58)",81,04-022-0081,2094,2067,2067,693,48,1326,53,51,1057,803,42,61,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №12 г. Гродно”, г. Гродно, ул. Поповича, 32)",82,04-022-0082,2100,2058,2058,376,40,1642,20,14,1296,535,26,167,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №6 г. Гродно”, г. Гродно, ул. Горновых, 31)",83,04-022-0083,2487,2238,2237,974,61,1203,30,34,1521,381,34,209,28,2500,262,
Гродненская,Гродно - Октябрьский,Гродно,"филиал “Грузовой автомоильный парк №2 г. Гродно” ОАО “Гроднооблавтотранс”, г. Гродно, ул. Пучкова, 28)",85,04-022-0085,892,815,815,122,42,651,18,9,262,449,12,65,,,,
Гродненская,Гродно - Октябрьский,Гродно,"УО “Гродненский государственный профессиональный технологический колледж”, г. Гродно, ул. Славинского, 7)",87,04-022-0087,1287,1226,1221,559,5,657,32,27,589,407,16,134,16,1300,,74
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №39 имени И.Д. Лебедева г. Гродно”, г. Гродно, ул. Огинского, 44А",89,04-022-0089,2588,2096,2096,506,10,1579,15,12,1299,352,22,396,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №39 имени И.Д. Лебедева г. Гродно”, г. Гродно, ул. Огинского, 44А",90,04-022-0090,2558,2286,2286,613,5,1668,60,83,1393,505,68,177,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №39 имени И.Д. Лебедева г. Гродно”, г. Гродно, ул. Огинского, 44А",91,04-022-0091,2296,2026,2026,389,2,1635,33,15,1207,322,38,411,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №41 г. Гродно”, г. Гродно, ул. Франтишка Богушевича, 24",92,04-022-0092,2598,2361,2361,1047,1,1313,51,23,1530,609,38,108,2,2600,0,239
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №41 г. Гродно”, г. Гродно, ул. Франтишка Богушевича, 24",93,04-022-0093,2621,2595,2595,1068,2,1525,13,92,1525,699,81,185,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №41 г. Гродно”, г. Гродно, ул. Франтишка Богушевича, 24",94,04-022-0094,2549,2382,2382,1038,4,1340,33,23,1483,661,34,129,19,2600,3,215
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №35 имени М.А.Волкова г. Гродно”, г. Гродно, ул. Фурсенко, 2",95,04-022-0095,1997,1955,1954,658,26,1270,10,9,1105,426,4,400,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №40 г. Гродно”, г. Гродно, ул. Кремко, 29",97,04-022-0097,2792,2597,2592,796,3,1793,31,21,1110,1004,11,415,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №40 г. Гродно”, г. Гродно, ул. Кремко, 29",98,04-022-0098,2653,2462,2459,809,5,1645,14,16,1278,1032,8,111,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №40 г. Гродно”, г. Гродно, ул. Кремко, 29",99,04-022-0099,2194,2186,2186,759,3,1424,30,19,1126,747,62,202,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №38 г. Гродно”, г. Гродно, ул. Вишневецкая, 14",100,04-022-0100,2397,2290,2290,652,16,1622,41,22,934,477,28,788,15,2397,,107
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №38 г. Гродно”, г. Гродно, ул. Вишневецкая, 14",101,04-022-0101,1591,1379,1379,611,16,752,27,22,848,256,12,185,29,1600,2,219
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №38 г. Гродно”, г. Гродно, ул. Вишневецкая, 14",102,04-022-0102,2092,1778,1778,697,9,1072,24,38,1093,280,28,273,42,2100,,322
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №38 г. Гродно”, г. Гродно, ул. Вишневецкая, 14",103,04-022-0103,2191,1938,1938,708,10,1220,48,37,1167,391,24,251,20,2200,1,261
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №38 г. Гродно”, г. Гродно, ул. Вишневецкая, 14",104,04-022-0104,2188,1862,1861,616,8,1237,116,25,1152,232,32,294,10,2200,,338
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №31 г. Гродно”, г. Гродно, шоссе Индурское, 12",105,04-022-0105,1892,1578,1578,737,36,805,18,30,887,509,21,109,4,1900,,322
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №31 г. Гродно”, г. Гродно, шоссе Индурское, 12",106,04-022-0106,2196,2031,2031,887,13,1131,24,14,1224,663,29,63,14,2200,,169
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №31 г. Гродно”, г. Гродно, шоссе Индурское, 12",107,04-022-0107,1993,1798,1791,643,22,1126,30,18,907,709,25,89,13,2000,1,201
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №34 г. Гродно”, г. Гродно, шоссе Индурское, 14",108,04-022-0108,2097,2056,2055,830,8,1217,38,36,1402,354,35,190,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №34 г. Гродно”, г. Гродно, шоссе Индурское, 14",109,04-022-0109,2190,2010,2010,916,12,1082,106,16,1388,198,47,255,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №34 г. Гродно”, г. Гродно, шоссе Индурское, 14",110,04-022-0110,2395,2166,2166,761,18,1387,38,36,945,1064,1,82,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №26 г. Гродно”, г. Гродно, проспект Янки Купалы, 55",112,04-022-0112,1795,1487,1487,728,11,748,,41,1039,220,,187,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №9 имени Ф.П. Кириченко г. Гродно”, г. Гродно, ул. Пестрака, 34/1",114,04-022-0114,1588,1237,1237,612,19,606,17,51,839,186,37,84,23,1600,0,363
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №9 имени Ф.П. Кириченко г. Гродно”, г. Гродно, ул. Пестрака, 34/1",115,04-022-0115,1889,1674,1674,772,33,869,19,67,1158,261,74,78,17,1900,1,225
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №9 имени Ф.П. Кириченко г. Гродно”, г. Гродно, ул. Пестрака, 34/1",116,04-022-0116,1784,1552,1552,706,51,795,85,29,1039,264,39,83,13,1800,0,248
Гродненская,Гродно - Октябрьский,Гродно,"УО “Гродненский государственный музыкальный колледж”, г. Гродно, проспект Янки Купалы, 53",117,04-022-0117,1891,1410,1410,384,9,1017,35,18,405,819,19,108,4,1900,2,488
Гродненская,Гродно - Октябрьский,Гродно,"УО “Гродненский государственный профессиональный лицей строителей №1”, г. Гродно, проспект Янки Купалы, 18",118,04-022-0118,1286,1181,1181,391,32,758,26,16,741,291,21,86,,,,
Гродненская,Гродно - Октябрьский,Гродно,"УО “Гродненский государственный профессиональный лицей строителей №1”, г. Гродно, проспект Янки Купалы, 18",119,04-022-0119,1195,1115,1115,395,43,677,4,13,588,432,7,64,7,1 200,1,85
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №3 имени В.М. Усова г. Гродно”, г. Гродно, ул. Фомичёва, 16",120,04-022-0120,1598,1507,1507,661,35,811,10,51,1051,331,17,47,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №3 имени В.М. Усова г. Гродно”, г. Гродно, ул. Фомичёва, 16",121,04-022-0121,1795,1687,1687,775,37,875,10,15,922,697,18,25,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №1 имени академика Е.Ф. Карского г. Гродно”, г. Гродно, проспект Янки Купалы, 82",122,04-022-0122,1987,1606,1606,371,24,1211,12,13,879,643,11,48,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №1 имени академика Е.Ф. Карского г. Гродно”, г. Гродно, проспект Янки Купалы, 82",123,04-022-0123,1694,1540,1539,376,3,1160,25,11,734,666,26,77,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Гимназия №1 имени академика Е.Ф. Карского г. Гродно”, г. Гродно, проспект Янки Купалы, 82",124,04-022-0124,1893,1520,1520,365,7,1148,10,8,820,553,8,121,,,,
Гродненская,Гродно - Октябрьский,Гродно,"общежитие ОАО “Гроднопромстрой”, г. Гродно, вул. Лидская, 27",125,04-022-0125,1482,1200,1200,408,0,792,14,13,307,709,20,126,11,1500,0,300
Гродненская,Гродно - Октябрьский,Гродно,"общежитие ОАО “Гродно Азот”, г. Гродно, переулок Белуша 2-й, 4",126,04-022-0126,1194,1031,1031,209,8,814,62,10,583,207,21,148,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №11 имени генерала армии А.И. Антонова г. Гродно”, г. Гродно, ул. Белуша, 18",128,04-022-0128,1897,1809,1809,591,33,1185,27,20,678,930,22,132,,,,
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №13 г. Гродно”, г. Гродно, вул. Берёзовая, 2",130,04-022-0130,2197,2097,2097,787,44,1266,31,10,1220,772,21,21,22,2200,4,99
Гродненская,Гродно - Октябрьский,Гродно,"ГУО “Средняя школа №5 г. Гродно”, г. Гродно, ул. Пролетарская, 69)",134,04-022-0134,1800,1620,1620,334,139,1147,40,14,1066,431,29,40,,,,
Гродненская,Гродно - Октябрьский,Гродно,"общежитие филиала “Гродзненские тепловые сети” республиканского унитарного предприятия электроэнергетики ""Гродноэнерго"", г. Гродно, шоссе Озёрское, 13)",135,04-022-0135,1387,1383,1383,264,93,1026,32,17,411,844,22,49,12,1400,2,15
Гродненская,Берестовицкий,а.г. Пархимовцы,"а.г. Пархимовцы, Пархимовский участок. ул. Парковая 3. Помещение ГУО ""Пархимовский учебно-перагогический комплекс ясли-сад - базовая школа""",11,04-105-0011,452,427,427,167,108,152,9,5,258,123,6,26,,,,
Гродненская,Волковысский,Волковыск,"Волковыск, Западный участок для голосования № 2 центр - общежитие производственного коммунального унитарного предприятия «Волковысское коммунальное хозяйство», Волковыск, улица Панковой, 58",2,04-106-0002,2648,2422,2422,1390,10,1022,4,2,2123,269,2,22,,,,
Гродненская,Волковысский,Волковыск,"Волковыск, Школьный участок для голосования № 11 центр — учебный корпус отдела культуры Волковысского районного исполнительного комитета, Волковыск, улица Школьная, 1.",11,04-106-0011,2296,2184,2184,928,85,1171,31,21,1129,848,21,134,,,,
Гродненская,Волковысский,Волковыск,"Волковыск, Жолудевский участок для голосования № 12 центр -государственное учреждение образования «Средняя школа № 5 г. Волковыска», Волковыск, улица Жолудева, 165",12,04-106-0012,2192,1834,1834,876,115,843,25,12,973,762,17,45,,,,
Гродненская,Волковысский,городской поселок Красносельский,"городской поселок Красносельский, Красносельский-Кировский участок для голосования № 31 центр - Красносельский сельский исполнительный комитет, городской поселок Красносельский, улица Короткая, 1",31,04-106-0031,2040,1852,1852,712,126,1014,4,12,1660,156,3,13,4,2074,0,222
Гродненская,Волковысский,городской поселок Красносельский,"городской поселок Красносельский, Красносельский-Центральный участок для голосования № 32 центр - государственное учреждение образования «Средняя школа г.п. Красносельский», городской поселок Красносельский, улица Школьная, 10",32,04-106-0032,1962,1645,1645,626,14,1005,3,18,1443,86,6,89,,,,
Гродненская,Волковысский,городской поселок Красносельский,"городской поселок Красносельский, Красносельский-Школьный участок для голосования № 33 центр государственное учреждение образования «Средняя школа г.п. Красносельский», городской поселок Красносельский, улица Рябиновая, 7",33,04-106-0033,1998,1905,1906,762,13,1131,5,27,1694,118,2,36,26,,1,172
Гродненская,Вороновский,г.п. Вороново,"г.п. Вороново, ул. Советская, 29 ГУК ""ВОРОНОВСКИЙ РАЙОННЫЙ ЦЕНТР КУЛЬТУРЫ И НАРОДНОГО ТВОРЧЕСТВА""",1,04-107-0001,2894,2786,2786,1513,32,1241,31,19,2384,253,44,42,13,3040,0,
Гродненская,Дятловский,"Даниловичский с/с,10","Даниловичский сельсовет, 10, филиал санаторий «Радон» открытого акционерного общества «Белагроздравница».",6,04-108-0006,140,133,133,0,0,133,5,5,34,79,0,10,0,200,,67
Гродненская,Дятловский,г. Дятлово,"г. Дятлово, ул. Октябрьская, 56 здание государственного учреждения «Центр социального обслуживания населения Дятловского района».",13,04-108-0013,726,665,665,335,122,208,1,9,621,21,1,11,1,750,,85
Гродненская,Дятловский,г.п. Козловщина,"г.п. Козловщина, ул. Советская, 16 административное здание Козловщинского сельского исполнительного комитета.",15,04-108-0015,2067,1966,1966,873,314,779,3,22,1833,60,4,44,,,,
